Frame ID,Object ID,Object Type,LocationX,LocationY,LocationZ,Length,Width,Height,Heading
1,219,3,101.8,3.6,0.0,2.36,0.76,1.41,1.61
1,218,1,115.6,5.3,0.0,3.99,1.85,1.62,1.57
1,223,2,59.2,18.3,0.0,4.44,1.77,1.99,3.07
2,225,4,96.5,32.9,1.0,0.38,0.38,1.86,2.40
2,229,4,94.1,19.1,1.0,0.38,0.38,1.86,0.89
2,220,3,102.4,30.1,0.0,2.03,0.00,1.30,1.66
2,221,3,78.7,7.5,0.0,1.80,0.00,1.42,1.53
2,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
2,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
2,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
2,219,3,101.8,3.6,0.0,2.36,0.76,1.41,1.61
2,218,1,115.6,5.3,0.0,3.99,1.85,1.62,1.57
2,223,2,59.3,18.3,0.0,4.44,1.77,1.99,3.08
2,225,4,96.5,32.9,1.0,0.38,0.38,1.86,2.40
2,229,4,94.1,19.1,1.0,0.38,0.38,1.86,0.89
2,220,3,102.4,30.1,0.0,2.03,0.00,1.30,1.66
2,221,3,78.7,7.5,0.0,1.80,0.00,1.42,1.53
2,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
2,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
2,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
2,219,3,101.8,3.6,0.0,2.36,0.76,1.41,1.61
2,218,1,115.6,5.3,0.0,3.99,1.85,1.62,1.57
2,223,2,59.3,18.3,0.0,4.44,1.77,1.99,3.08
2,225,4,96.5,33.0,1.0,0.38,0.38,1.86,2.40
2,229,4,94.1,19.1,1.0,0.38,0.38,1.86,0.89
2,220,3,102.4,30.2,0.0,2.03,0.00,1.30,1.66
2,221,3,78.7,7.4,0.0,1.80,0.00,1.42,1.53
2,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
2,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
2,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
2,219,3,101.8,3.6,0.0,2.36,0.76,1.41,1.61
2,218,1,115.6,5.2,0.0,3.99,1.85,1.62,1.57
2,223,2,59.3,18.3,0.0,4.44,1.77,1.99,3.08
2,225,4,95.9,33.4,1.0,0.38,0.38,1.86,1.01
2,229,4,93.5,19.9,1.0,0.38,0.38,1.86,0.90
2,220,3,102.7,32.1,0.0,2.03,0.00,1.30,1.71
2,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
2,221,3,78.6,5.6,0.0,1.80,0.00,1.42,1.54
2,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
2,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
2,219,3,101.8,3.4,0.0,2.36,0.76,1.41,1.61
2,218,1,115.7,3.8,0.0,3.99,1.85,1.62,1.57
2,223,2,60.3,18.4,0.0,4.44,1.77,1.99,3.09
2,225,4,95.8,33.4,1.0,0.38,0.38,1.86,0.98
2,229,4,93.5,19.9,1.0,0.38,0.38,1.86,0.90
2,220,3,102.7,32.1,0.0,2.03,0.00,1.30,1.72
2,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
2,221,3,78.6,5.5,0.0,1.80,0.00,1.42,1.54
2,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
2,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
2,219,3,101.8,3.4,0.0,2.36,0.76,1.41,1.61
2,218,1,115.7,3.7,0.0,3.99,1.85,1.62,1.57
2,223,2,60.3,18.4,0.0,4.44,1.77,1.99,3.09
2,225,4,95.8,33.4,1.0,0.38,0.38,1.86,0.96
2,229,4,93.4,20.0,1.0,0.38,0.38,1.86,0.90
2,220,3,102.7,32.2,0.0,2.03,0.00,1.30,1.72
2,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
2,221,3,78.6,5.5,0.0,1.80,0.00,1.42,1.54
2,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
2,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
2,219,3,101.8,3.3,0.0,2.36,0.76,1.41,1.61
2,218,1,115.7,3.7,0.0,3.99,1.85,1.62,1.57
2,223,2,60.4,18.4,0.0,4.44,1.77,1.99,3.09
3,225,4,95.8,33.4,1.0,0.38,0.38,1.86,0.94
3,229,4,93.4,20.0,1.0,0.38,0.38,1.86,0.90
3,220,3,102.7,32.3,0.0,2.03,0.00,1.30,1.73
3,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
3,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
3,221,3,78.6,5.4,0.0,1.80,0.00,1.42,1.54
3,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
3,219,3,101.8,3.3,0.0,2.36,0.76,1.41,1.61
3,218,1,115.7,3.6,0.0,3.99,1.85,1.62,1.57
3,223,2,60.4,18.4,0.0,4.44,1.77,1.99,3.09
3,225,4,95.7,33.4,1.0,0.38,0.38,1.86,0.92
3,229,4,93.4,20.0,1.0,0.38,0.38,1.86,0.90
3,220,3,102.7,32.3,0.0,2.03,0.00,1.30,1.74
3,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
3,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
3,221,3,78.6,5.3,0.0,1.80,0.00,1.42,1.54
3,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
3,219,3,101.8,3.3,0.0,2.36,0.76,1.41,1.61
3,218,1,115.7,3.6,0.0,3.99,1.85,1.62,1.57
3,223,2,60.4,18.4,0.0,4.44,1.77,1.99,3.09
3,225,4,95.7,33.5,1.0,0.38,0.38,1.86,0.89
3,229,4,93.4,20.1,1.0,0.38,0.38,1.86,0.90
3,220,3,102.7,32.4,0.0,2.03,0.00,1.30,1.75
3,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
3,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
3,221,3,78.6,5.2,0.0,1.80,0.00,1.42,1.54
3,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
3,219,3,101.8,3.3,0.0,2.36,0.76,1.41,1.61
3,218,1,115.7,3.5,0.0,3.99,1.85,1.62,1.57
3,223,2,60.5,18.4,0.0,4.44,1.77,1.99,3.09
3,225,4,95.7,33.5,1.0,0.38,0.38,1.86,0.87
3,229,4,93.3,20.1,1.0,0.38,0.38,1.86,0.90
3,220,3,102.8,32.5,0.0,2.03,0.00,1.30,1.76
3,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
3,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
3,221,3,78.6,5.2,0.0,1.80,0.00,1.42,1.54
3,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
3,219,3,101.8,3.3,0.0,2.36,0.76,1.41,1.61
3,218,1,115.7,3.4,0.0,3.99,1.85,1.62,1.57
3,223,2,60.5,18.4,0.0,4.44,1.77,1.99,3.09
3,225,4,95.6,33.5,1.0,0.38,0.38,1.86,0.85
3,229,4,93.3,20.1,1.0,0.38,0.38,1.86,0.90
3,220,3,102.8,32.6,0.0,2.03,0.00,1.30,1.77
3,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
3,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
3,221,3,78.6,5.1,0.0,1.80,0.00,1.42,1.54
3,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
3,219,3,101.8,3.3,0.0,2.36,0.76,1.41,1.61
3,218,1,115.7,3.4,0.0,3.99,1.85,1.62,1.57
3,223,2,60.6,18.4,0.0,4.44,1.77,1.99,3.09
3,225,4,95.6,33.5,1.0,0.38,0.38,1.86,0.83
3,229,4,93.3,20.1,1.0,0.38,0.38,1.86,0.90
3,220,3,102.8,32.6,0.0,2.03,0.00,1.30,1.78
3,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
3,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
3,221,3,78.6,5.0,0.0,1.80,0.00,1.42,1.54
3,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
3,219,3,101.8,3.3,0.0,2.36,0.76,1.41,1.61
3,218,1,115.7,3.3,0.0,3.99,1.85,1.62,1.57
3,223,2,60.6,18.4,0.0,4.44,1.77,1.99,3.09
4,225,4,95.6,33.5,1.0,0.38,0.38,1.86,0.81
4,229,4,93.3,20.2,1.0,0.38,0.38,1.86,0.90
4,220,3,102.8,32.7,0.0,2.03,0.00,1.30,1.79
4,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
4,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
4,221,3,78.6,5.0,0.0,1.80,0.00,1.42,1.54
4,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
4,219,3,101.8,3.2,0.0,2.36,0.76,1.41,1.61
4,218,1,115.7,3.3,0.0,3.99,1.85,1.62,1.57
4,223,2,60.6,18.4,0.0,4.44,1.77,1.99,3.09
4,225,4,95.6,33.5,1.0,0.38,0.38,1.86,0.81
4,229,4,93.3,20.2,1.0,0.38,0.38,1.86,0.90
4,220,3,102.8,32.7,0.0,2.03,0.00,1.30,1.79
4,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
4,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
4,221,3,78.6,5.0,0.0,1.80,0.00,1.42,1.54
4,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
4,219,3,101.8,3.2,0.0,2.36,0.76,1.41,1.61
4,218,1,115.7,3.3,0.0,3.99,1.85,1.62,1.57
4,223,2,60.6,18.4,0.0,4.44,1.77,1.99,3.09
4,225,4,95.5,33.6,1.0,0.38,0.38,1.86,0.80
4,229,4,93.2,20.2,1.0,0.38,0.38,1.86,0.90
4,220,3,102.8,32.8,0.0,2.03,0.00,1.30,1.80
4,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
4,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
4,221,3,78.6,4.9,0.0,1.80,0.00,1.42,1.54
4,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
4,219,3,101.8,3.2,0.0,2.36,0.76,1.41,1.61
4,218,1,115.7,3.2,0.0,3.99,1.85,1.62,1.57
4,223,2,60.7,18.4,0.0,4.44,1.77,1.99,3.09
4,225,4,95.5,33.6,1.0,0.38,0.38,1.86,0.78
4,229,4,93.2,20.2,1.0,0.38,0.38,1.86,0.90
4,220,3,102.8,32.8,0.0,2.03,0.00,1.30,1.81
4,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
4,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
4,221,3,78.6,4.8,0.0,1.80,0.00,1.42,1.54
4,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
4,219,3,101.8,3.2,0.0,2.36,0.76,1.41,1.61
4,218,1,115.7,3.2,0.0,3.99,1.85,1.62,1.57
4,223,2,60.7,18.4,0.0,4.44,1.77,1.99,3.10
4,225,4,95.5,33.6,1.0,0.38,0.38,1.86,0.76
4,229,4,93.2,20.3,1.0,0.38,0.38,1.86,0.90
4,220,3,102.9,32.9,0.0,2.03,0.00,1.30,1.82
4,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
4,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
4,221,3,78.6,4.7,0.0,1.80,0.00,1.42,1.54
4,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
4,219,3,101.8,3.2,0.0,2.36,0.76,1.41,1.61
4,218,1,115.7,3.1,0.0,3.99,1.85,1.62,1.57
4,223,2,60.8,18.4,0.0,4.44,1.77,1.99,3.10
4,225,4,95.4,33.6,1.0,0.38,0.38,1.86,0.74
4,229,4,93.2,20.3,1.0,0.38,0.38,1.86,0.90
4,220,3,102.9,33.0,0.0,2.03,0.00,1.30,1.83
4,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
4,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
4,221,3,78.6,4.7,0.0,1.80,0.00,1.42,1.54
4,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
4,219,3,101.8,3.2,0.0,2.36,0.76,1.41,1.61
4,218,1,115.7,3.0,0.0,3.99,1.85,1.62,1.57
4,223,2,60.8,18.4,0.0,4.44,1.77,1.99,3.10
5,225,4,95.4,33.6,1.0,0.38,0.38,1.86,0.74
5,229,4,93.2,20.3,1.0,0.38,0.38,1.86,0.90
5,220,3,102.9,33.0,0.0,2.03,0.00,1.30,1.83
5,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
5,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
5,221,3,78.6,4.7,0.0,1.80,0.00,1.42,1.54
5,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
5,219,3,101.8,3.2,0.0,2.36,0.76,1.41,1.61
5,218,1,115.7,3.0,0.0,3.99,1.85,1.62,1.57
5,223,2,60.8,18.4,0.0,4.44,1.77,1.99,3.10
5,225,4,95.4,33.6,1.0,0.38,0.38,1.86,0.72
5,229,4,93.2,20.3,1.0,0.38,0.38,1.86,0.90
5,220,3,102.9,33.0,0.0,2.03,0.00,1.30,1.85
5,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
5,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
5,221,3,78.6,4.6,0.0,1.80,0.00,1.42,1.54
5,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
5,219,3,101.8,3.2,0.0,2.36,0.76,1.41,1.61
5,218,1,115.7,3.0,0.0,3.99,1.85,1.62,1.57
5,223,2,60.8,18.4,0.0,4.44,1.77,1.99,3.10
5,225,4,95.4,33.6,1.0,0.38,0.38,1.86,0.71
5,229,4,93.1,20.4,1.0,0.38,0.38,1.86,0.90
5,220,3,102.9,33.1,0.0,2.03,0.00,1.30,1.86
5,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
5,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
5,221,3,78.6,4.5,0.0,1.80,0.00,1.42,1.54
5,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
5,219,3,101.8,3.1,0.0,2.36,0.76,1.41,1.61
5,218,1,115.7,2.9,0.0,3.99,1.85,1.62,1.57
5,223,2,60.9,18.4,0.0,4.44,1.77,1.99,3.10
5,225,4,95.3,33.6,1.0,0.38,0.38,1.86,0.69
5,229,4,93.1,20.4,1.0,0.38,0.38,1.86,0.91
5,220,3,103.0,33.2,0.0,2.03,0.00,1.30,1.87
5,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
5,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
5,221,3,78.6,4.5,0.0,1.80,0.00,1.42,1.55
5,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
5,219,3,101.8,3.1,0.0,2.36,0.76,1.41,1.61
5,218,1,115.7,2.9,0.0,3.99,1.85,1.62,1.57
5,223,2,60.9,18.4,0.0,4.44,1.77,1.99,3.10
5,225,4,95.3,33.7,1.0,0.38,0.38,1.86,0.67
5,229,4,93.1,20.4,1.0,0.38,0.38,1.86,0.91
5,220,3,103.0,33.2,0.0,2.03,0.00,1.30,1.89
5,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
5,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
5,221,3,78.6,4.4,0.0,1.80,0.00,1.42,1.55
5,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
5,219,3,101.8,3.1,0.0,2.36,0.76,1.41,1.61
5,218,1,115.7,2.8,0.0,3.99,1.85,1.62,1.57
5,223,2,61.0,18.4,0.0,4.44,1.77,1.99,3.10
5,225,4,95.3,33.7,1.0,0.38,0.38,1.86,0.66
5,229,4,93.1,20.4,1.0,0.38,0.38,1.86,0.91
5,220,3,103.0,33.3,0.0,2.03,0.00,1.30,1.90
5,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
5,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
5,221,3,78.6,4.3,0.0,1.80,0.00,1.42,1.55
5,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
5,219,3,101.8,3.1,0.0,2.36,0.76,1.41,1.61
5,218,1,115.7,2.8,0.0,3.99,1.85,1.62,1.57
5,223,2,61.0,18.4,0.0,4.44,1.77,1.99,3.10
6,225,4,95.2,33.7,1.0,0.38,0.38,1.86,0.64
6,229,4,93.0,20.5,1.0,0.38,0.38,1.86,0.91
6,220,3,103.0,33.4,0.0,2.03,0.00,1.30,1.92
6,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
6,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
6,221,3,78.6,4.2,0.0,1.80,0.00,1.42,1.55
6,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
6,219,3,101.8,3.1,0.0,2.36,0.76,1.41,1.61
6,218,1,115.7,2.7,0.0,3.99,1.85,1.62,1.57
6,223,2,61.1,18.4,0.0,4.44,1.77,1.99,3.10
6,225,4,95.2,33.7,1.0,0.38,0.38,1.86,0.62
6,229,4,93.0,20.5,1.0,0.38,0.38,1.86,0.91
6,220,3,103.1,33.4,0.0,2.03,0.00,1.30,1.93
6,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
6,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
6,221,3,78.6,4.2,0.0,1.80,0.00,1.42,1.55
6,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
6,219,3,101.8,3.1,0.0,2.36,0.76,1.41,1.61
6,218,1,115.7,2.6,0.0,3.99,1.85,1.62,1.57
6,223,2,61.1,18.4,0.0,4.44,1.77,1.99,3.10
6,225,4,95.2,33.7,1.0,0.38,0.38,1.86,0.61
6,229,4,93.0,20.5,1.0,0.38,0.38,1.86,0.91
6,220,3,103.1,33.5,0.0,2.03,0.00,1.30,1.95
6,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
6,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
6,221,3,78.6,4.1,0.0,1.80,0.00,1.42,1.55
6,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
6,219,3,101.8,3.1,0.0,2.36,0.76,1.41,1.61
6,218,1,115.7,2.6,0.0,3.99,1.85,1.62,1.57
6,223,2,61.1,18.4,0.0,4.44,1.77,1.99,3.10
6,225,4,95.1,33.7,1.0,0.38,0.38,1.86,0.59
6,229,4,93.0,20.6,1.0,0.38,0.38,1.86,0.91
6,220,3,103.1,33.5,0.0,2.03,0.00,1.30,1.97
6,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
6,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
6,221,3,78.6,4.0,0.0,1.80,0.00,1.42,1.55
6,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
6,219,3,101.8,3.0,0.0,2.36,0.76,1.41,1.61
6,218,1,115.7,2.5,0.0,3.99,1.85,1.62,1.57
6,223,2,61.2,18.4,0.0,4.44,1.77,1.99,3.10
6,225,4,95.1,33.7,1.0,0.38,0.38,1.86,0.58
6,229,4,92.9,20.6,1.0,0.38,0.38,1.86,0.91
6,220,3,103.2,33.6,0.0,2.03,0.00,1.30,1.99
6,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
6,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
6,221,3,78.6,4.0,0.0,1.80,0.00,1.42,1.55
6,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
6,219,3,101.8,3.0,0.0,2.36,0.76,1.41,1.61
6,218,1,115.7,2.4,0.0,3.99,1.85,1.62,1.57
6,223,2,61.2,18.4,0.0,4.44,1.77,1.99,3.10
6,225,4,95.0,33.8,1.0,0.38,0.38,1.86,0.56
6,229,4,92.9,20.6,1.0,0.38,0.38,1.86,0.91
6,220,3,103.2,33.7,0.0,2.03,0.00,1.30,2.00
6,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
6,222,2,65.7,11.9,0.0,5.92,1.99,2.56,0.01
6,221,3,78.6,3.9,0.0,1.80,0.00,1.42,1.55
6,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
6,219,3,101.8,3.0,0.0,2.36,0.76,1.41,1.61
6,218,1,115.7,2.4,0.0,3.99,1.85,1.62,1.57
6,223,2,61.3,18.4,0.0,4.44,1.77,1.99,3.10
7,225,4,94.1,33.8,1.0,0.38,0.38,1.86,0.13
7,229,4,92.3,21.4,1.0,0.38,0.38,1.86,0.91
7,220,3,104.5,35.0,0.0,2.03,0.00,1.30,2.49
7,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
7,222,2,65.7,11.9,0.0,5.92,1.99,2.56,0.02
7,221,3,78.6,2.0,0.0,1.80,0.00,1.42,1.56
7,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
7,219,3,101.8,2.7,0.0,2.36,0.76,1.41,1.60
7,218,1,115.7,0.5,0.0,3.99,1.85,1.62,1.57
7,223,2,62.5,18.4,0.0,4.44,1.77,1.99,3.11
7,225,4,94.0,33.8,1.0,0.38,0.38,1.86,0.12
7,229,4,92.3,21.5,1.0,0.38,0.38,1.86,0.91
7,220,3,104.6,35.0,0.0,2.03,0.00,1.30,2.51
7,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
7,222,2,65.7,11.9,0.0,5.92,1.99,2.56,0.02
7,221,3,78.6,2.0,0.0,1.80,0.00,1.42,1.56
7,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
7,219,3,101.8,2.7,0.0,2.36,0.76,1.41,1.60
7,218,1,115.7,0.5,0.0,3.99,1.85,1.62,1.57
7,223,2,62.5,18.4,0.0,4.44,1.77,1.99,3.11
7,225,4,94.0,33.8,1.0,0.38,0.38,1.86,0.11
7,229,4,92.2,21.5,1.0,0.38,0.38,1.86,0.91
7,220,3,104.6,35.1,0.0,2.03,0.00,1.30,2.53
7,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
7,222,2,65.7,11.9,0.0,5.92,1.99,2.56,0.02
7,221,3,78.6,1.9,0.0,1.80,0.00,1.42,1.56
7,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
7,219,3,101.8,2.6,0.0,2.36,0.76,1.41,1.60
7,218,1,115.7,0.4,0.0,3.99,1.85,1.62,1.57
7,223,2,62.5,18.4,0.0,4.44,1.77,1.99,3.11
7,225,4,93.9,33.8,1.0,0.38,0.38,1.86,0.09
7,229,4,92.2,21.5,1.0,0.38,0.38,1.86,0.91
7,220,3,104.7,35.1,0.0,2.03,0.00,1.30,2.55
7,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
7,222,2,65.7,11.9,0.0,5.92,1.99,2.56,0.02
7,221,3,78.6,1.8,0.0,1.80,0.00,1.42,1.56
7,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
7,219,3,101.8,2.6,0.0,2.36,0.76,1.41,1.60
7,218,1,115.7,0.3,0.0,3.99,1.85,1.62,1.57
7,223,2,62.6,18.4,0.0,4.44,1.77,1.99,3.12
7,225,4,93.9,33.8,1.0,0.38,0.38,1.86,0.08
7,229,4,92.2,21.6,1.0,0.38,0.38,1.86,0.91
7,220,3,104.8,35.1,0.0,2.03,0.00,1.30,2.56
7,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
7,222,2,65.7,11.9,0.0,5.92,1.99,2.56,0.02
7,221,3,78.6,1.7,0.0,1.80,0.00,1.42,1.56
7,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
7,219,3,101.8,2.6,0.0,2.36,0.76,1.41,1.60
7,218,1,115.7,0.2,0.0,3.99,1.85,1.62,1.57
